alpha,I
5.459,0.4
5.454,0.4
5.449,0.4
5.443,0.4
5.438,0.4
5.433,0.4
5.428,0.4
5.422,0.3
5.417,0.3
5.412,0.3
5.406,0.3
5.401,0.3
5.396,0.3
5.39,0.3
5.385,0.3
5.38,0.3
5.375,0.3
5.369,0.3
5.364,0.3
5.359,0.3
5.353,0.3
5.348,0.3
5.343,0.3
5.337,0.3
5.332,0.3
5.327,0.3
5.322,0.3
5.316,0.3
5.311,0.3
5.306,0.3
5.3,0.3
5.295,0.3
5.29,0.3
5.284,0.3
5.279,0.3
5.274,0.3
5.269,0.3
5.263,0.3
5.258,0.3
5.253,0.3
5.247,0.3
5.242,0.3
5.237,0.3
5.231,0.3
5.226,0.3
5.221,0.3
5.216,0.3
5.21,0.3
5.205,0.3
5.2,0.3
5.194,0.3
5.189,0.3
5.184,0.3
5.178,0.3
5.173,0.3
5.168,0.3
5.162,0.3
5.157,0.3
5.152,0.3
5.147,0.4
5.141,0.4
5.136,0.4
5.131,0.4
5.125,0.4
5.12,0.4
5.115,0.4
5.109,0.4
5.104,0.4
5.099,0.4
5.094,0.4
5.088,0.4
5.083,0.4
5.078,0.4
5.072,0.4
5.067,0.4
5.062,0.4
5.056,0.4
5.051,0.4
5.046,0.4
5.04,0.4
5.035,0.4
5.03,0.4
5.025,0.4
5.019,0.4
5.014,0.4
5.009,0.4
5.003,0.4
4.998,0.4
4.993,0.4
4.987,0.4
4.982,0.4
4.977,0.4
4.971,0.4
4.966,0.4
4.961,0.4
4.956,0.4
4.95,0.4
4.945,0.4
4.94,0.4
4.934,0.4
4.929,0.4
4.924,0.4
4.918,0.4
4.913,0.4
4.908,0.4
4.902,0.4
4.897,0.4
4.892,0.4
4.887,0.4
4.881,0.4
4.876,0.4
4.871,0.4
4.865,0.4
4.86,0.4
4.855,0.4
4.849,0.4
4.844,0.4
4.839,0.4
4.833,0.4
4.828,0.4
4.823,0.4
4.818,0.4
4.812,0.4
4.807,0.4
4.802,0.4
4.796,0.4
4.791,0.4
4.786,0.4
4.78,0.4
4.775,0.4
4.77,0.5
4.764,0.6
4.759,0.7
4.754,0.8
4.748,0.8
4.743,0.8
4.738,0.8
4.733,0.8
4.727,0.8
4.722,0.8
4.717,0.7
4.711,0.7
4.706,0.6
4.701,0.5
4.695,0.5
4.69,0.6
4.685,0.8
4.679,0.8
4.674,0.8
4.669,0.8
4.663,0.8
4.658,0.8
4.653,0.9
4.648,0.9
4.642,0.8
4.637,0.8
4.632,0.8
4.626,0.8
4.621,0.8
4.616,0.8
4.61,0.8
4.605,0.8
4.6,0.8
4.594,0.8
4.589,0.8
4.584,0.8
4.578,0.8
4.573,0.8
4.568,0.8
4.563,0.9
4.557,0.9
4.552,0.8
4.547,0.8
4.541,0.8
4.536,0.8
4.531,0.8
4.525,0.8
4.52,0.8
4.515,0.8
4.509,0.8
4.504,0.8
4.499,0.8
4.493,0.8
4.488,0.8
4.483,0.8
4.478,1
4.472,1
4.467,1
4.462,0.9
4.456,0.8
4.451,0.8
4.446,0.8
4.44,0.8
4.435,0.8
4.43,0.8
4.424,0.8
4.419,0.8
4.414,0.8
4.408,0.8
4.403,0.9
4.398,1
4.392,1
4.387,1.1
4.382,1.2
4.377,1.2
4.371,1.2
4.366,1
4.361,0.8
4.355,0.8
4.35,0.8
4.345,0.8
4.339,0.8
4.334,0.8
4.329,0.8
4.323,1
4.318,1.2
4.313,1.2
4.307,1.2
4.302,1.2
4.297,1.2
4.291,1.3
4.286,1.4
4.281,1.3
4.275,1.2
4.27,1.2
4.265,1.1
4.26,0.8
4.254,0.8
4.249,0.8
4.244,0.8
4.238,0.8
4.233,0.9
4.228,1.2
4.222,1.2
4.217,1.2
4.212,1.4
4.206,1.4
4.201,1.6
4.196,1.6
4.19,1.6
4.185,1.6
4.18,1.5
4.174,1.2
4.169,1.2
4.164,1.1
4.158,0.9
4.153,0.9
4.148,0.8
4.143,0.8
4.137,0.9
4.132,1.2
4.127,1.3
4.121,1.4
4.116,1.6
4.111,1.6
4.105,1.6
4.1,1.7
4.095,1.7
4.089,1.7
4.084,1.6
4.079,1.6
4.073,1.2
4.068,1.2
4.063,1.2
