alpha,I
5.459,0.1
5.454,0.1
5.449,0.1
5.443,0.1
5.438,0
5.433,0
5.428,0
5.422,0
5.417,0
5.412,0
5.406,0
5.401,0
5.396,0
5.39,0
5.385,0
5.38,0
5.375,0
5.369,0
5.364,0
5.359,0
5.353,0
5.348,0
5.343,0
5.337,0
5.332,0
5.327,0
5.322,0
5.316,0
5.311,0
5.306,0
5.3,0
5.295,0
5.29,0
5.284,0
5.279,0
5.274,0
5.269,0
5.263,0
5.258,0
5.253,0
5.247,0
5.242,0
5.237,0
5.231,0
5.226,0
5.221,0
5.216,0
5.21,0
5.205,0
5.2,0
5.194,0
5.189,0
5.184,0
5.178,0
5.173,0
5.168,0
5.162,0
5.157,0
5.152,0
5.147,0
5.141,0
5.136,0
5.131,0
5.125,0
5.12,0
5.115,0
5.109,0
5.104,0
5.099,0
5.094,0
5.088,0
5.083,0
5.078,0
5.072,0
5.067,0
5.062,0
5.056,0
5.051,0
5.046,0
5.04,0
5.035,0
5.03,0
5.025,0
5.019,0
5.014,0
5.009,0
5.003,0
4.998,0
4.993,0
4.987,0
4.982,0
4.977,0
4.971,0
4.966,0
4.961,0
4.956,0
4.95,0
4.945,0
4.94,0
4.934,0
4.929,0
4.924,0.1
4.918,0.2
4.913,0.2
4.908,0.2
4.902,0.2
4.897,0.2
4.892,0.2
4.887,0.2
4.881,0.2
4.876,0.1
4.871,0.1
4.865,0.1
4.86,0.1
4.855,0.1
4.849,0.2
4.844,0.2
4.839,0.4
4.833,0.4
4.828,0.4
4.823,0.4
4.818,0.4
4.812,0.4
4.807,0.4
4.802,0.4
4.796,0.3
4.791,0.3
4.786,0.3
4.78,0.3
4.775,0.3
4.77,0.3
4.764,0.4
4.759,0.4
4.754,0.4
4.748,0.4
4.743,0.4
4.738,0.4
4.733,0.4
4.727,0.4
4.722,0.4
4.717,0.4
4.711,0.4
4.706,0.4
4.701,0.4
4.695,0.4
4.69,0.4
4.685,0.4
4.679,0.4
4.674,0.4
4.669,0.6
4.663,0.7
4.658,0.7
4.653,0.7
4.648,0.7
4.642,0.4
4.637,0.4
4.632,0.4
4.626,0.4
4.621,0.4
4.616,0.4
4.61,0.4
4.605,0.4
4.6,0.4
4.594,0.4
4.589,0.4
4.584,0.6
4.578,0.7
4.573,0.7
4.568,0.7
4.563,0.7
4.557,0.6
